@relation TestInstances

@attribute room {stube,kueche,badgross,badklein,gang}
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
badklein,61,73,91,91,91,0,0,0,50.875,-10.125,-22.125,-40.125,-40.125,-40.125,50.875,50.875,50.875
badklein,61,62,93,93,88,0,0,0,49.625,-11.375,-12.375,-43.375,-43.375,-38.375,49.625,49.625,49.625
badklein,61,66,87,87,91,0,0,0,49,-12,-17,-38,-38,-42,49,49,49
badklein,62,71,87,87,93,0,0,0,50,-12,-21,-37,-37,-43,50,50,50
badklein,62,65,89,89,87,0,0,0,49,-13,-16,-40,-40,-38,49,49,49
badklein,62,74,89,89,87,0,0,0,50.125,-11.875,-23.875,-38.875,-38.875,-36.875,50.125,50.125,50.125
badklein,58,70,89,89,95,0,0,0,50.125,-7.875,-19.875,-38.875,-38.875,-44.875,50.125,50.125,50.125
gang,59,83,84,84,95,0,0,0,50.625,-8.375,-32.375,-33.375,-33.375,-44.375,50.625,50.625,50.625
gang,59,77,84,84,95,0,0,0,49.875,-9.125,-27.125,-34.125,-34.125,-45.125,49.875,49.875,49.875
gang,60,79,84,84,95,0,0,0,50.25,-9.75,-28.75,-33.75,-33.75,-44.75,50.25,50.25,50.25
gang,60,79,82,82,82,0,0,0,48.125,-11.875,-30.875,-33.875,-33.875,-33.875,48.125,48.125,48.125
gang,60,74,82,82,82,0,0,0,47.5,-12.5,-26.5,-34.5,-34.5,-34.5,47.5,47.5,47.5
gang,60,76,89,89,98,0,0,0,51.5,-8.5,-24.5,-37.5,-37.5,-46.5,51.5,51.5,51.5
gang,63,74,89,89,98,0,0,0,51.625,-11.375,-22.375,-37.375,-37.375,-46.375,51.625,51.625,51.625
gang,63,71,89,89,94,0,0,0,50.75,-12.25,-20.25,-38.25,-38.25,-43.25,50.75,50.75,50.75
gang,63,71,89,89,94,0,0,0,50.75,-12.25,-20.25,-38.25,-38.25,-43.25,50.75,50.75,50.75
gang,63,77,89,89,92,0,0,0,51.25,-11.75,-25.75,-37.75,-37.75,-40.75,51.25,51.25,51.25
gang,65,73,89,89,96,0,0,0,51.5,-13.5,-21.5,-37.5,-37.5,-44.5,51.5,51.5,51.5
gang,65,70,70,83,94,0,0,0,47.75,-17.25,-22.25,-22.25,-35.25,-46.25,47.75,47.75,47.75
gang,65,69,69,83,94,0,0,0,47.5,-17.5,-21.5,-21.5,-35.5,-46.5,47.5,47.5,47.5
gang,65,77,77,82,94,0,0,0,49.375,-15.625,-27.625,-27.625,-32.625,-44.625,49.375,49.375,49.375
gang,62,71,71,82,94,0,0,0,47.5,-14.5,-23.5,-23.5,-34.5,-46.5,47.5,47.5,47.5
gang,62,76,76,86,93,0,0,0,49.125,-12.875,-26.875,-26.875,-36.875,-43.875,49.125,49.125,49.125
gang,62,85,85,83,93,0,0,0,51,-11,-34,-34,-32,-42,51,51,51
gang,62,81,81,85,93,0,0,0,50.25,-11.75,-30.75,-30.75,-34.75,-42.75,50.25,50.25,50.25
gang,58,81,92,92,92,0,0,0,51.875,-6.125,-29.125,-40.125,-40.125,-40.125,51.875,51.875,51.875
gang,58,84,92,92,92,0,0,0,52.25,-5.75,-31.75,-39.75,-39.75,-39.75,52.25,52.25,52.25
gang,58,80,92,92,92,0,0,0,51.75,-6.25,-28.25,-40.25,-40.25,-40.25,51.75,51.75,51.75
gang,58,77,92,92,92,0,0,0,51.375,-6.625,-25.625,-40.625,-40.625,-40.625,51.375,51.375,51.375
gang,57,87,92,92,92,0,0,0,52.5,-4.5,-34.5,-39.5,-39.5,-39.5,52.5,52.5,52.5
gang,57,82,92,92,92,0,0,0,51.875,-5.125,-30.125,-40.125,-40.125,-40.125,51.875,51.875,51.875
gang,57,78,78,91,94,0,0,0,49.75,-7.25,-28.25,-28.25,-41.25,-44.25,49.75,49.75,49.75
gang,62,78,78,91,94,0,0,0,50.375,-11.625,-27.625,-27.625,-40.625,-43.625,50.375,50.375,50.375
gang,62,77,94,94,94,0,0,0,52.625,-9.375,-24.375,-41.375,-41.375,-41.375,52.625,52.625,52.625
gang,62,78,94,94,94,0,0,0,52.75,-9.25,-25.25,-41.25,-41.25,-41.25,52.75,52.75,52.75
gang,64,76,94,94,94,0,0,0,52.75,-11.25,-23.25,-41.25,-41.25,-41.25,52.75,52.75,52.75
gang,64,77,94,94,94,0,0,0,52.875,-11.125,-24.125,-41.125,-41.125,-41.125,52.875,52.875,52.875
gang,64,69,94,94,94,0,0,0,51.875,-12.125,-17.125,-42.125,-42.125,-42.125,51.875,51.875,51.875
gang,64,73,94,94,94,0,0,0,52.375,-11.625,-20.625,-41.625,-41.625,-41.625,52.375,52.375,52.375
gang,64,72,91,91,91,0,0,0,51.125,-12.875,-20.875,-39.875,-39.875,-39.875,51.125,51.125,51.125
gang,64,66,91,91,91,0,0,0,50.375,-13.625,-15.625,-40.625,-40.625,-40.625,50.375,50.375,50.375
gang,64,66,91,91,91,0,0,0,50.375,-13.625,-15.625,-40.625,-40.625,-40.625,50.375,50.375,50.375
gang,64,70,91,91,91,0,0,0,50.875,-13.125,-19.125,-40.125,-40.125,-40.125,50.875,50.875,50.875
gang,62,66,91,91,91,0,0,0,50.125,-11.875,-15.875,-40.875,-40.875,-40.875,50.125,50.125,50.125
gang,62,69,91,91,91,0,0,0,50.5,-11.5,-18.5,-40.5,-40.5,-40.5,50.5,50.5,50.5
gang,62,66,66,84,85,0,0,0,45.375,-16.625,-20.625,-20.625,-38.625,-39.625,45.375,45.375,45.375
gang,59,68,68,80,93,0,0,0,46,-13,-22,-22,-34,-47,46,46,46
gang,59,67,94,94,94,0,0,0,51,-8,-16,-43,-43,-43,51,51,51
gang,59,70,94,94,94,0,0,0,51.375,-7.625,-18.625,-42.625,-42.625,-42.625,51.375,51.375,51.375
gang,59,67,94,94,94,0,0,0,51,-8,-16,-43,-43,-43,51,51,51
gang,56,75,94,94,94,0,0,0,51.625,-4.375,-23.375,-42.375,-42.375,-42.375,51.625,51.625,51.625
gang,56,73,94,94,94,0,0,0,51.375,-4.625,-21.625,-42.625,-42.625,-42.625,51.375,51.375,51.375
gang,56,69,94,94,94,0,0,0,50.875,-5.125,-18.125,-43.125,-43.125,-43.125,50.875,50.875,50.875
gang,56,69,94,94,94,0,0,0,50.875,-5.125,-18.125,-43.125,-43.125,-43.125,50.875,50.875,50.875
gang,54,69,69,92,85,0,0,0,46.125,-7.875,-22.875,-22.875,-45.875,-38.875,46.125,46.125,46.125
gang,54,69,91,91,91,0,0,0,49.5,-4.5,-19.5,-41.5,-41.5,-41.5,49.5,49.5,49.5
gang,54,64,91,91,91,0,0,0,48.875,-5.125,-15.125,-42.125,-42.125,-42.125,48.875,48.875,48.875
gang,54,66,92,92,92,0,0,0,49.5,-4.5,-16.5,-42.5,-42.5,-42.5,49.5,49.5,49.5
gang,55,65,92,92,92,0,0,0,49.5,-5.5,-15.5,-42.5,-42.5,-42.5,49.5,49.5,49.5
gang,55,66,93,93,93,0,0,0,50,-5,-16,-43,-43,-43,50,50,50
gang,55,66,93,93,93,0,0,0,50,-5,-16,-43,-43,-43,50,50,50
gang,55,70,93,93,93,0,0,0,50.5,-4.5,-19.5,-42.5,-42.5,-42.5,50.5,50.5,50.5
gang,55,65,93,93,93,0,0,0,49.875,-5.125,-15.125,-43.125,-43.125,-43.125,49.875,49.875,49.875
gang,55,65,93,93,93,0,0,0,49.875,-5.125,-15.125,-43.125,-43.125,-43.125,49.875,49.875,49.875
gang,55,69,93,93,93,0,0,0,50.375,-4.625,-18.625,-42.625,-42.625,-42.625,50.375,50.375,50.375
gang,55,63,93,93,93,0,0,0,49.625,-5.375,-13.375,-43.375,-43.375,-43.375,49.625,49.625,49.625
gang,55,63,93,93,93,0,0,0,49.625,-5.375,-13.375,-43.375,-43.375,-43.375,49.625,49.625,49.625
gang,49,63,63,81,79,0,0,0,41.875,-7.125,-21.125,-21.125,-39.125,-37.125,41.875,41.875,41.875
gang,49,65,65,79,90,0,0,0,43.5,-5.5,-21.5,-21.5,-35.5,-46.5,43.5,43.5,43.5
gang,49,65,65,80,82,0,0,0,42.625,-6.375,-22.375,-22.375,-37.375,-39.375,42.625,42.625,42.625
gang,49,69,69,86,71,0,0,0,43,-6,-26,-26,-43,-28,43,43,43
gang,51,65,65,84,84,0,0,0,43.625,-7.375,-21.375,-21.375,-40.375,-40.375,43.625,43.625,43.625
gang,51,66,90,90,90,0,0,0,48.375,-2.625,-17.625,-41.625,-41.625,-41.625,48.375,48.375,48.375
gang,51,64,90,90,90,0,0,0,48.125,-2.875,-15.875,-41.875,-41.875,-41.875,48.125,48.125,48.125
gang,51,64,90,90,90,0,0,0,48.125,-2.875,-15.875,-41.875,-41.875,-41.875,48.125,48.125,48.125
gang,50,75,90,90,90,0,0,0,49.375,-0.625,-25.625,-40.625,-40.625,-40.625,49.375,49.375,49.375
gang,50,71,90,90,90,0,0,0,48.875,-1.125,-22.125,-41.125,-41.125,-41.125,48.875,48.875,48.875
gang,50,67,90,90,90,0,0,0,48.375,-1.625,-18.625,-41.625,-41.625,-41.625,48.375,48.375,48.375
