@relation TestInstances

@attribute room {marius,joel,stube}
@attribute rss0 numeric
@attribute rss1 numeric
@attribute rss2 numeric
@attribute rss3 numeric
@attribute rss4 numeric
@attribute rss5 numeric
@attribute rss6 numeric
@attribute light numeric
@attribute pressure numeric

@data
stube,-82,-82,-82,-82,-82,-82,-82,1,959.542603
stube,-76,-76,-76,-76,-76,-76,-76,1,959.512634
stube,-74,-74,-74,-74,-74,-74,-74,1,959.572632
stube,-82,-82,-82,-82,-82,-82,-82,1,959.512634
stube,-78,-78,-78,-78,-78,-78,-78,1,959.482666
stube,-75,-75,-75,-75,-75,-75,-75,1,959.482666
stube,-79,-79,-79,-79,-79,-79,-79,1,959.452637
stube,-79,-79,-79,-79,-79,-79,-79,1,959.422668
stube,-78,-78,-78,-78,-78,-78,-78,1,959.542603
stube,-80,-80,-80,-80,-80,-80,-80,1,959.512634
stube,-76,-76,-76,-76,-76,-76,-76,1,959.452637
stube,-75,-75,-75,-75,-75,-75,-75,1,959.482666
stube,-72,-72,-72,-72,-72,-72,-72,1,959.512634
stube,-84,-84,-84,-84,-84,-84,-84,1,959.542603
stube,-82,-82,-82,-82,-82,-82,-82,1,959.6026
stube,-83,-83,-83,-83,-83,-83,-83,1,959.452637
stube,-77,-77,-77,-77,-77,-77,-77,1,959.482666
stube,-78,-78,-78,-78,-78,-78,-78,1,959.542603
stube,-73,-73,-73,-73,-73,-73,-73,1,959.572632
stube,-74,-74,-74,-74,-74,-74,-74,1,959.512634
stube,-79,-79,-79,-79,-79,-79,-79,1,959.572632
stube,-79,-79,-79,-79,-79,-79,-79,1,959.542603
stube,-82,-82,-82,-82,-82,-82,-82,1,959.422668
stube,-85,-85,-85,-85,-85,-85,-85,1,959.512634
stube,-76,-76,-76,-76,-76,-76,-76,2,959.512634
stube,-78,-78,-78,-78,-78,-78,-78,2,959.512634
stube,-78,-78,-78,-78,-78,-78,-78,2,959.542603
stube,-72,-72,-72,-72,-72,-72,-72,2,959.542603
stube,-78,-78,-78,-78,-78,-78,-78,2,959.542603
stube,-78,-78,-78,-78,-78,-78,-78,2,959.542603
stube,-80,-80,-80,-80,-80,-80,-80,2,959.542603
stube,-75,-75,-75,-75,-75,-75,-75,2,959.482666
stube,-86,-86,-86,-86,-86,-86,-86,2,959.422668
stube,-80,-80,-80,-80,-80,-80,-80,2,959.482666
stube,-79,-79,-79,-79,-79,-79,-79,2,959.512634
stube,-73,-73,-73,-73,-73,-73,-73,3,959.542603
stube,-69,-69,-69,-69,-69,-69,-69,4,959.512634
stube,-74,-74,-74,-74,-74,-74,-74,5,959.482666
stube,-75,-75,-75,-75,-75,-75,-75,6,959.482666
stube,-83,-83,-83,-83,-83,-83,-83,8,959.482666
stube,-73,-73,-73,-73,-73,-73,-73,10,959.582581
stube,-81,-81,-81,-81,-81,-81,-81,16,959.542603
stube,-79,-79,-79,-79,-79,-79,-79,20,959.542603
stube,-78,-78,-78,-78,-78,-78,-78,17,959.452637
stube,-80,-80,-80,-80,-80,-80,-80,17,959.542603
stube,-84,-84,-84,-84,-84,-84,-84,14,959.542603
stube,-76,-76,-76,-76,-76,-76,-76,14,959.452637
stube,-75,-75,-75,-75,-75,-75,-75,11,959.542603
stube,-75,-75,-75,-75,-75,-75,-75,10,959.452637
stube,-77,-77,-77,-77,-77,-77,-77,10,959.452637
stube,-76,-76,-76,-76,-76,-76,-76,9,959.452637
stube,-72,-72,-72,-72,-72,-72,-72,9,959.422668
stube,-74,-74,-74,-74,-74,-74,-74,14,959.452637
stube,-78,-78,-78,-78,-78,-78,-78,30,959.512634
stube,-74,-74,-74,-74,-74,-74,-74,162,959.542603
stube,-76,-76,-76,-76,-76,-76,-76,329,959.512634
stube,-76,-76,-76,-76,-76,-76,-76,98,959.572632
stube,-77,-77,-77,-77,-77,-77,-77,27,959.482666
stube,-75,-75,-75,-75,-75,-75,-75,11,959.542603
stube,-77,-77,-77,-77,-77,-77,-77,12,959.512634
stube,-80,-80,-80,-80,-80,-80,-80,13,959.482666
stube,-77,-77,-77,-77,-77,-77,-77,13,959.362732
stube,-75,-75,-75,-75,-75,-75,-75,17,959.482666
stube,-77,-77,-77,-77,-77,-77,-77,28,959.542603
stube,-78,-78,-78,-78,-78,-78,-78,103,959.452637
stube,-83,-83,-83,-83,-83,-83,-83,32,959.632568
stube,-78,-78,-78,-78,-78,-78,-78,16,959.512634
stube,-74,-74,-74,-74,-74,-74,-74,9,959.542603
stube,-69,-69,-69,-69,-69,-69,-69,6,959.512634
