@relation TestInstances

@attribute room {kueche,stube,nicola,gang}
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric
@attribute magneticY numeric
@attribute magneticZ numeric

@data
gang,0,-10,-34,-34,-34,-34,-34,-34,-26.75,-26.75,-16.75,7.25,7.25,7.25,7.25,7.25,7.25,21.060385,-33.854992
gang,0,-18,-34,-34,-34,-34,-34,-34,-27.75,-27.75,-9.75,6.25,6.25,6.25,6.25,6.25,6.25,19.748205,-35.329002
gang,0,-12,-32,-32,-32,-32,-32,-32,-25.5,-25.5,-13.5,6.5,6.5,6.5,6.5,6.5,6.5,16.414471,-37.116802
gang,0,-4,-32,-32,-32,-32,-32,-32,-24.5,-24.5,-20.5,7.5,7.5,7.5,7.5,7.5,7.5,18.146502,-37.140388
gang,0,-1,-30,-30,-30,-30,-30,-30,-22.625,-22.625,-21.625,7.375,7.375,7.375,7.375,7.375,7.375,18.804768,-36.729725
gang,0,-4,-33,-33,-33,-33,-33,-33,-25.25,-25.25,-21.25,7.75,7.75,7.75,7.75,7.75,7.75,18.808411,-36.651497
gang,0,-6,-32,-32,-32,-32,-32,-32,-24.75,-24.75,-18.75,7.25,7.25,7.25,7.25,7.25,7.25,18.991009,-36.480396
gang,0,-10,-32,-32,-32,-32,-32,-32,-25.25,-25.25,-15.25,6.75,6.75,6.75,6.75,6.75,6.75,17.567238,-38.18713
gang,0,-14,-32,-32,-32,-32,-32,-32,-25.75,-25.75,-11.75,6.25,6.25,6.25,6.25,6.25,6.25,18.036612,-37.160862
gang,0,-10,-36,-36,-36,-36,-36,-36,-28.25,-28.25,-18.25,7.75,7.75,7.75,7.75,7.75,7.75,17.256029,-37.60321
gang,0,-11,-36,-36,-36,-36,-36,-36,-28.375,-28.375,-17.375,7.625,7.625,7.625,7.625,7.625,7.625,17.61488,-37.985096
gang,0,-9,-36,-36,-36,-36,-36,-36,-28.125,-28.125,-19.125,7.875,7.875,7.875,7.875,7.875,7.875,17.385344,-38.929577
gang,0,-14,-43,-43,-43,-43,-43,-43,-34,-34,-20,9,9,9,9,9,9,17.386784,-39.467445
