@relation TestInstances

@attribute room {table,bed,door,undefined}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
table,20,-41,-81,-81,-81,-89,-96,-96,-96,-96
table,21,-40,-81,-81,-81,-89,-96,-96,-96,-96
table,20,-41,-81,-81,-81,-89,-96,-96,-96,-96
table,22,-40,-81,-81,-81,-89,-96,-96,-96,-96
table,23,-39,-81,-81,-81,-89,-96,-96,-96,-96
table,23,-39,-78,-78,-78,-93,-93,-93,-93,-93
table,21,-41,-78,-78,-78,-93,-93,-93,-93,-93
table,19,-42,-78,-78,-78,-93,-93,-93,-93,-93
table,19,-42,-77,-77,-77,-93,-93,-93,-93,-93
table,18,-42,-77,-77,-77,-93,-93,-93,-93,-93
table,18,-43,-77,-77,-77,-93,-93,-93,-93,-93
table,17,-43,-77,-77,-77,-93,-93,-93,-93,-93
table,19,-42,-77,-77,-77,-93,-93,-93,-93,-93
table,22,-41,-77,-77,-77,-93,-93,-93,-93,-93
table,20,-41,-77,-77,-77,-93,-93,-93,-93,-93
table,23,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,21,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,21,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,18,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,14,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,4,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,4,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-38,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-38,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-38,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,4,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,4,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-40,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-41,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-41,-77,-77,-77,-93,-93,-93,-93,-93
table,5,-41,-77,-77,-77,-93,-93,-93,-93,-93
table,4,-41,-77,-77,-77,-93,-93,-93,-93,-93
table,1,-42,-77,-77,-77,-93,-93,-93,-93,-93
table,2,-42,-77,-77,-77,-93,-93,-93,-93,-93
table,5,-39,-77,-77,-77,-93,-93,-93,-93,-93
table,4,-36,-77,-77,-77,-93,-93,-93,-93,-93
table,5,-34,-77,-77,-77,-93,-93,-93,-93,-93
table,5,-33,-77,-77,-77,-93,-93,-93,-93,-93
table,3,-32,-77,-77,-77,-93,-93,-93,-93,-93
table,3,-30,-77,-77,-77,-93,-93,-93,-93,-93
table,4,-30,-77,-77,-77,-93,-93,-93,-93,-93
table,5,-29,-77,-77,-77,-93,-93,-93,-93,-93
table,5,-28,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-28,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,4,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,3,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,2,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,5,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,13,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,14,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,13,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-28,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-28,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-28,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-28,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-28,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-28,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,4,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-27,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,5,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,3,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,1,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,3,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,13,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-24,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,5,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-24,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-23,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-23,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-23,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-24,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-24,-77,-77,-77,-93,-93,-93,-93,-93
table,5,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-24,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-24,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-24,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-24,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,6,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,13,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,13,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,12,-25,-77,-77,-77,-93,-93,-93,-93,-93
table,11,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,7,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,8,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,9,-26,-77,-77,-77,-93,-93,-93,-93,-93
table,10,-26,-77,-77,-77,-93,-93,-93,-93,-93
